 Cost Rank , PLID (Masked) , Vms Top Name , VMS Units,,,,,,,,,,,,
,, Vms Top Name ,,,,,,,,,,,,,
,,,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
1,SWITCH Enterprise 48-Port UPOE,Education- Public/Private,618,"1,090","1,024",834,866,583,"1,437",664,421,"1,093",646,"1,078",618
1,SWITCH Enterprise 48-Port UPOE,Energy/Utilities,377,413,499,299,500,365,345,361,649,222,244,304,289
1,SWITCH Enterprise 48-Port UPOE,Financial Services,"1,175","2,947",959,"1,300","1,032",946,"1,173","1,568","1,065",936,"1,688","1,060",738
1,SWITCH Enterprise 48-Port UPOE,Government,"4,579","4,994","1,827","3,762","5,377","2,059","3,320","5,709","3,438","3,021","2,488","4,111","3,682"
1,SWITCH Enterprise 48-Port UPOE,Health Care,"5,269","4,463","2,137","4,334","2,266","1,820","2,550","3,162","3,499","4,353","2,807","3,060","2,253"
1,SWITCH Enterprise 48-Port UPOE,Hospitality/Hotels & Leisure,45,9,35,143,88,77,176,28,66,220,242,308,5
1,SWITCH Enterprise 48-Port UPOE,Manufacturing,"1,731","1,837","2,113","1,625",813,"1,143","1,685","2,480","1,866","2,178","2,277","2,025","1,968"
1,SWITCH Enterprise 48-Port UPOE,Media/Entertainment,-128,329,172,138,163,194,164,380,537,128,139,181,293
1,SWITCH Enterprise 48-Port UPOE,Professional Services,"1,006","1,436","1,049","1,288",332,653,"1,362","1,590",883,"1,154",644,841,642
1,SWITCH Enterprise 48-Port UPOE,Retail,"1,955","1,479",379,345,165,506,"3,641",738,509,831,739,"4,011","1,627"
1,SWITCH Enterprise 48-Port UPOE,Service Provider,307,31,63,81,9,37,77,57,107,86,35,31,13
1,SWITCH Enterprise 48-Port UPOE,Technical Services,235,561,182,173,131,179,132,311,265,164,196,222,99
1,SWITCH Enterprise 48-Port UPOE,Transportation,148,489,181,"1,101",57,92,198,121,302,688,93,351,110
1,SWITCH Enterprise 48-Port UPOE,Unknown,"3,719",915,-114,542,594,654,"1,185",982,981,990,"2,051",958,674
1,SWITCH Enterprise 48-Port UPOE,Wholesale/Distribution,210,154,81,135,40,132,83,373,119,194,106,122,134
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Education- Public/Private,"5,847","5,880","10,368","15,377","7,277","7,881","10,720","11,877","9,162","13,691","22,860","15,415","8,111"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Energy/Utilities,22,467,488,"1,683",665,"2,078","1,284","3,851","1,297","2,386","1,642",716,823
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Financial Services,855,"2,830","9,339","4,972","4,067","3,981","6,373","7,590","8,032","9,074","12,372","8,064","4,474"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Government,"5,528","5,840","6,304","11,198","9,244","10,606","10,792","10,817","12,692","15,681","13,816","16,533","14,419"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Health Care,"1,111","2,838","5,511","2,939","2,469","9,036","8,895","5,712","2,748","3,483","6,679","2,710","2,825"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Hospitality/Hotels & Leisure,,30,,264,72,4,59,9,46,53,15,10,7
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Manufacturing,950,"1,909","1,448","3,841","3,809","5,315","3,488","6,097","6,155","5,893","4,943","5,270","6,313"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Media/Entertainment,80,344,86,"1,146",499,387,765,"1,196",780,944,304,512,130
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Professional Services,712,"1,978","2,162","4,861","6,113","2,794","4,556","4,946","4,736","6,313","4,456","3,829","4,275"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Retail,"1,331",540,190,492,302,228,898,785,"1,027","1,374",959,852,"1,477"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Service Provider,167,"1,193",345,231,"1,169",168,"1,519",685,"1,051",459,"2,226",177,180
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Technical Services,26,49,483,482,449,"1,955",431,637,"1,588",851,"1,349","1,415","1,754"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Transportation,,256,811,"1,950",814,"4,452",971,339,966,955,804,472,721
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Unknown,"5,037","6,126","2,839","9,454","4,629","10,022","8,356","11,580","5,918","16,533","14,410","14,894","12,190"
2,WIRELESS ACCESS POINT WiFi6E (Internal Antenna) Indoor,Wholesale/Distribution,1,219,131,"2,324",354,517,966,831,933,406,"1,008",625,619
3,SWITCH Core 25G/100G Fiber,Education- Public/Private,253,223,529,330,224,250,345,516,175,414,245,421,212
3,SWITCH Core 25G/100G Fiber,Energy/Utilities,121,243,68,250,105,95,114,153,166,191,225,189,178
3,SWITCH Core 25G/100G Fiber,Financial Services,292,448,407,451,380,344,655,529,349,623,505,722,632
3,SWITCH Core 25G/100G Fiber,Government,872,972,933,"1,100",755,889,"1,241","1,289","1,217",975,974,"1,350","1,650"
3,SWITCH Core 25G/100G Fiber,Health Care,102,95,103,107,113,137,140,163,186,157,236,386,254
3,SWITCH Core 25G/100G Fiber,Hospitality/Hotels & Leisure,4,21,0,8,12,9,2,4,9,9,25,18,4
3,SWITCH Core 25G/100G Fiber,Manufacturing,778,614,885,680,667,766,779,"1,028",792,"1,072",910,"1,126","1,097"
3,SWITCH Core 25G/100G Fiber,Media/Entertainment,102,363,63,78,25,379,279,184,137,193,363,176,65
3,SWITCH Core 25G/100G Fiber,Professional Services,282,413,412,687,470,374,440,522,466,568,513,707,602
3,SWITCH Core 25G/100G Fiber,Retail,75,58,40,74,79,144,56,90,55,153,78,120,85
3,SWITCH Core 25G/100G Fiber,Service Provider,60,68,86,59,35,73,89,29,53,75,98,72,133
3,SWITCH Core 25G/100G Fiber,Technical Services,151,102,174,297,182,201,187,129,248,172,219,298,209
3,SWITCH Core 25G/100G Fiber,Transportation,696,44,24,41,52,36,53,317,55,98,34,121,54
3,SWITCH Core 25G/100G Fiber,Unknown,766,979,630,827,918,801,982,691,906,847,"1,114",973,"1,030"
3,SWITCH Core 25G/100G Fiber,Wholesale/Distribution,55,35,41,72,73,72,86,157,54,109,162,105,141
4,SWITCH Enterprise 24-Port PoE+,Education- Public/Private,137,498,160,201,176,178,455,562,205,315,217,302,447
4,SWITCH Enterprise 24-Port PoE+,Energy/Utilities,558,308,655,626,225,395,285,453,213,215,304,383,367
4,SWITCH Enterprise 24-Port PoE+,Financial Services,697,469,480,"1,132",724,755,"1,272",495,629,682,801,840,533
4,SWITCH Enterprise 24-Port PoE+,Government,"3,769","3,028","2,391","2,878","4,142","1,832","3,799","2,902","2,939","2,989","2,632","3,489","2,998"
4,SWITCH Enterprise 24-Port PoE+,Health Care,85,362,120,91,51,78,67,135,60,148,62,136,86
4,SWITCH Enterprise 24-Port PoE+,Hospitality/Hotels & Leisure,2,7,0,0,3,0,,15,3,5,4,3,1
4,SWITCH Enterprise 24-Port PoE+,Manufacturing,"1,626","1,629","1,571","2,298","1,232","1,056","1,505","1,801","1,370","1,230","1,364","1,543","1,406"
4,SWITCH Enterprise 24-Port PoE+,Media/Entertainment,363,256,190,100,60,195,83,86,77,83,75,106,102
4,SWITCH Enterprise 24-Port PoE+,Professional Services,319,824,853,"1,411",730,579,947,728,714,826,"1,076",781,767
4,SWITCH Enterprise 24-Port PoE+,Retail,78,61,448,153,150,105,133,106,84,89,139,171,61
4,SWITCH Enterprise 24-Port PoE+,Service Provider,-44,87,25,56,37,860,202,23,47,57,444,41,73
4,SWITCH Enterprise 24-Port PoE+,Technical Services,314,184,213,291,659,834,319,212,80,207,254,345,131
4,SWITCH Enterprise 24-Port PoE+,Transportation,693,-71,150,463,48,183,170,89,93,185,146,157,65
4,SWITCH Enterprise 24-Port PoE+,Unknown,"2,558","3,153","1,006","1,878","2,146","2,541","1,960","2,171","1,868","1,237","1,269","1,833","1,298"
4,SWITCH Enterprise 24-Port PoE+,Wholesale/Distribution,35,132,96,103,78,111,150,168,78,168,650,208,98
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Education- Public/Private,"9,823","9,553","4,765","7,268","2,765","2,208","3,126","6,697","3,773","3,345","5,196","2,688","6,920"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Energy/Utilities,488,"1,589",568,891,"1,331","1,266",438,635,138,692,358,296,259
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Financial Services,"6,603","9,996","5,400","4,804","2,098","2,874","5,437","2,841","4,326","6,447","4,698","3,922","1,452"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Government,"8,999","11,676","6,852","8,704","8,233","9,352","9,932","10,280","15,328","13,958","5,252","6,895","8,271"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Health Care,653,"1,463","1,755","2,111","2,138","2,538","1,438","2,819","1,948","1,789","2,474","2,760","1,236"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Hospitality/Hotels & Leisure,331,387,216,186,97,281,208,418,96,107,112,21,59
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Manufacturing,"5,770","8,533","10,558","8,157","6,180","6,561","5,106","7,332","4,089","8,458","5,642","4,914","6,463"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Media/Entertainment,277,725,158,110,264,856,421,640,892,382,322,115,125
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Professional Services,"3,783","4,995","5,809","2,080","5,861","3,845","3,962","6,112","3,691","2,762","4,787","2,067","3,226"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Retail,693,995,399,843,"1,588","4,999","1,352","1,025",657,"1,454",209,746,"1,206"
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Service Provider,"1,578","2,704",795,883,"5,234",654,"1,387","1,285","1,279","1,943",861,947,393
5,WIRELESS ACCESS POINT WiFi6 (Internal Antenna) Indoor,Technical Services,"7,669","2,033","3,402","1,726",864,"1,600","2,456","3,473","2,076","2,282","3,952","3,865",120
